Date,Day,Day Label,Accoms,Summary,Morning,Afternoon,Evening
13 Sep 2026,Sun,Day 1 (Arrival),Swissôtel Grand Shanghai 上海宏安瑞士大酒店 (愚园路1号),Arrival → Bund → Jesse dinner,"🍴 Lunch: on flight (SQ830 SIN 09:30)
☑ 15:05 land PVG
🚗 Didi PVG → hotel (~50–70 min)
⚠️ Register Citi in WeChat Pay + Alipay while on SG number","🏨 Check in, drop bags, decompress
🚗 Didi to the Bund 外滩 (~15 min)
🚶 Walk promenade south → north
· Chen Yi Plaza 陈毅广场 — best photo point facing Pudong
· Customs House 海关大楼 — bronze clock tower
· HSBC Building 汇丰银行大楼 — mosaic dome in lobby
· Bund 18 外滩18号 — luxury arcade
· Pudong skyline + Oriental Pearl lights up ~19:00","🍽 Dinner: 20:00 Jesse · Jiu Guang Branch 老吉士酒家 (静安区南京西路1618号久百城市广场8楼) — ✅ booked
Shanghainese home-style; Michelin Bib
Must-try: red-braised pork 红烧肉 + smoked fish 本帮熏鱼
💳 Citi+Amaze / Lady's · ~S$35–45/pax"
14 Sep 2026,Mon,Day 2,Swissôtel Grand Shanghai 上海宏安瑞士大酒店 (愚园路1号),Yu Garden → Li Bai Xie lunch → North Bund walk,"☕ Coffee: Seesaw Coffee 喜茶 (愚园路1号, hotel lobby) — flat white + pastry · ~S$6–8 [☕1]
🚗 Didi to Yu Garden 豫园 (~20 min)
🏯 Yu Garden — be inside before 09:30 (opens 08:30)
🥟 Nanxiang Steamed Bun 南翔馒头店 (est.1900) inside bazaar — original crab roe xiaolongbao, queue is worth it","🍜 Lunch: Li Bai Xie 李百蟹 (外滩22号3楼 Bund No.22, 3F)
Crab roe noodles 蟹粉面 + Bund river view; set ~¥198–338
💳 Citi+Amaze / Lady's · ~S$25–35/pax
🚶 Walk north: Rockbund 外滩源 → Songmont 山下有松 (圆明园路149号) — visit only, BUY at Zhang Yuan Day 5
🚶 Over Waibaidu Bridge 外白渡桥 (1907, oldest steel bridge in Shanghai)
🚶 North Bund Greenway 北外滩滨江绿地 — best 270° skyline view of the trip
📚 15:00 虹书舫 Hong Shu Fang (虹口区北苏州路111号) — riverside ""book boat"" cultural space between Zhapu Rd Bridge and Waibaidu Bridge; reading, exhibitions, writers' salon, Dayin Bookstore inside; opened Mar 2026","🍽 Dinner: Fuzhou Rd noodle shop 福州路面馆 (黄浦区福州路)
Classic Shanghai noodles or wontons; walk-in, no booking
💳 UnionPay QR · ~S$10–15/pax"
15 Sep 2026,Tue,Day 3,Swissôtel Grand Shanghai 上海宏安瑞士大酒店 (愚园路1号),French Concession citywalk — Wukang Rd → Anfu Rd → To Summer,"🍳 BF: Apoli Itabakery AP意大利料理面包坊 (长宁区兴国路380号) — ""Harry Potter bakery"", corner of Wukang Rd & Xingguo Rd, directly across from Wukang Mansion — this IS the start of the walk, no travel needed; expect a queue · ~S$12–15 [☕1]
🚶 Wukang Rd → Anfu Rd walk (~1.5 hrs, slow pace):
· Wukang Mansion 武康大楼 — iconic curved Normandie Apartments (1924, Laszlo Hudec); photo from south pavement
· Ferguson Lane 复兴坊 (376 Fuxing West Rd) — boutiques in old villas
· Green House 绿房子 (322 Anfu Rd corner) — green-tiled heritage villa
· Anfu Market 安福商店 — giant plush bear (viral Rednote spot)
· HARMAY 话梅 — industrial-style Chinese skincare
· Not Just Pajama + LookNow & Flow (Wulumuqi corner)
· Avocado Lady (Wulumuqi Middle Rd) — legendary Western goods importer","🌿 To Summer 观夏 (湖南路111号) — Eastern New Modern fragrance; Spanish Colonial Revival building; 'East' + 'Osmanthus' top Rednote picks
🍜 Lunch: O'Mills Sourdough 欧米面包 (永嘉路388号)
💳 Citi+Amaze / Lady's · ~S$12–15/pax
🧥 Icicle 之禾 (衡山路2号) — 1920s villa Garden Store
☕ OPS Coffee (太原路177号) — seasonal fixed menu, top Rednote pick · ~S$7–8 [☕1]","🍽 Dinner: Renhe · Jing'an Branch 人和馆 (静安区)
Crab roe noodles 蟹粉面; ✅ Booked 19:30 on Dianping
💳 Lady's / Citi+Amaze · ~S$18–22/pax"
16 Sep 2026,Wed,Day 4 (Day Trip),Swissôtel Grand Shanghai 上海宏安瑞士大酒店 (愚园路1号),Suzhou Day Trip 苏州 — Garden + Museum + Pingjiang Rd,"🚗 Didi to Hongqiao Station 虹桥站 (~45 min)
🎟 Klook: Private Suzhou day tour OR self-guided HSR (passport required)
🍳 BF: local teahouse near garden — soy milk 豆浆 + fried dough 油条 · ~S$5–8
🏯 Humble Administrator's Garden 拙政园 (东北街178号, East Gate 东门入)
UNESCO heritage; China's largest classical garden; allow 2 hrs, no rushing
🏛 Suzhou Museum 苏州博物馆新馆 (东北街204号) — I.M. Pei building next door; free with WeChat reservation","🍜 Lunch: Pingjiang Rd canalside teahouse 平江路茶馆
Suzhou-style noodles 苏式汤面 or braised duck 酱鸭 · ~S$12–18
🌊 Pingjiang Road canal walk 平江路 (START: 干将东路南入口, walk NORTH ~800m):
· Stone arch bridges 拱桥 — classic water-town shot
· Ouzhiyuan Tea House 耦止园茶室 — pavilion on the water
· Indie shops: silk, embroidery, ceramics, dried plum
· Daru Alley 大儒巷 — quieter side lane
· Road runs 1.6 km to Baita East Rd 白塔东路","🚗 Didi / private car back to Shanghai
🍽 Dinner: Hen Jiu Yi Qian 很久以前 (上海, confirm branch on Dianping)
Skewers and grill; casual and fun
💳 Lady's / Citi+Amaze · ~S$15–20/pax"
17 Sep 2026,Thu,Day 5,Swissôtel Grand Shanghai 上海宏安瑞士大酒店 (愚园路1号),Jing'an 静安 — Temple → Natural History Museum → Gongyan lunch → LV + Nanjing West Rd,"⛩ Jing'an Temple 静安寺 (南京西路1686号) — active Buddhist temple, gilded roof; 20–30 min
☕ Coffee: Manner Coffee (南京西路1488号) — grab-and-go, started as a 2sqm window right here in Jing'an in 2015; different register from Day 2's Seesaw; 150m from temple · ~S$4–6 [☕1]
🦴 Shanghai Natural History Museum 上海自然博物馆 (北京西路510号, Jing'an Sculpture Park) — dinosaur skeletons, biodiversity halls, immersive dioramas; ~2.25 hrs; book WeChat mini program slot ahead
⚠️ Hard stop by 11:45 to make the 12:00 Gongyan booking","🍽 Lunch: 12:00 Gongyan 贡院 (静安区) — ✅ confirmed paid slot (19 Aug via WeChat)
💳 Lady's / Citi+Amaze · ~S$35–45/pax
🛍 The Louis 路易威登之旅 (南京西路789号, 兴业太古汇) — ship-shaped LV flagship + exhibition (OMA-designed, opened 2025); travel-trunk, craft, fashion, scent halls + boutique + Le Café; ~1 hr
🚶 Nanjing West Rd 南京西路 mall crawl (2 stops, slow pace):
· Plaza 66 恒隆广场 (南京西路1266号) — ⚠️ bring passport for instant tax refund
· Zhang Yuan 张园 (南京西路1025弄) — BUY Songmont 山下有松 here (quieter than Rockbund)","🍽 Dinner: The Flow 飘 @ Swissôtel (愚园路1号)
In-hotel; easy night after big lunch
💳 Lady's / Citi+Amaze · ~S$25–35/pax"
18 Sep 2026,Fri,Day 6,PuLi Shanghai 璞麗酒店 (常德路1号),Hotel move → Weixiangzhai brunch → Half-day relax at PuLi → dinner,"🏨 Check out Swissôtel → Didi bags to PuLi 璞麗 (常德路1号, ~10 min); room from 15:00
🍜 Brunch: Weixiangzhai 味香斋 (雁荡路14号) — sesame noodles 麻酱面 + wontons; go 10:30 or after 13:30; no English menu
💳 UnionPay QR · ~S$7–9","🧘 No shopping today — genuine half-day relax at PuLi 璞麗酒店 (常德路1号)
🧖 Ask concierge about early spa/pool access ahead of 15:00 room-ready time; otherwise relax in the lobby lounge
Read, nap, decompress — this is the rest day","🏨 15:00 Check into PuLi 璞麗 room
🧖 Spa + pool
🍽 Dinner + cocktails @ PuLi 璞麗酒店 — final Shanghai night; best hotel of the trip
💳 PRVI Miles · ~S$50–80/pax"
19 Sep 2026,Sat,Day 7 (SH → BJ),Regent Beijing 王府半岛酒店 (金鱼胡同99号),Shanghai → Beijing G16 HSR → Wangfujing evening,"🍳 BF: quick café near PuLi before checkout
🚗 Didi to Shanghai Station 上海站 (秣陵路303号, ~20 min)
⚠️ Shanghai Station 上海站 — NOT Hongqiao; arrive 30 min early; passport needed
🚄 G16 departs 11:53 → arrives Beijing South 北京南站 16:34 (4h 41m)
🍱 Lunch: bento at station convenience store before boarding · ~S$6–10","🚄 16:34 arrive Beijing South 北京南站
🚗 Didi to Regent Beijing 王府半岛酒店 (金鱼胡同99号, ~35 min)
🏨 Check in; BF covered from Day 8
🚶 Wangfujing St 王府井大街 — 10 min walk from hotel:
· Wangfujing Church 王府井天主堂 (74号) — 1904 Romanesque, lit at night
· Foreign Languages Bookstore 外文书店 (235号) — best English books in Beijing
· Wuyutai 吴裕泰 (225号) — matcha soft-serve 抹茶冰淇淋 ~¥18
· Snack alley: tanghulu 糖葫芦 or jianbing 煎饼 (skip scorpion stalls)
· 3D Panda billboard at apm mall (viral outdoor screen)
· Dengshikou hutong 灯市口 — quieter local lane branching off","🍽 Dinner: Dawanju 大碗居 (东四南大街283号, Dongsi branch)
Old Beijing home-style; cheap + filling; no queue
💳 Lady's / Citi+Amaze · ~S$15–20/pax"
20 Sep 2026,Sun,Day 8,Regent Beijing 王府半岛酒店 (金鱼胡同99号),Tiananmen 天安门 → Forbidden City 故宫 → Jingshan 景山 → Siji Minfu duck → Beihai Park,"✅ SUNDAY — Forbidden City OPEN (closed every Monday)
🎟 Klook: Forbidden City + Tiananmen small group tour (★4.9)
Meet: Muji Hotel Beijing 北京坊 (前门站 Exit I, walk 300m west); guide contacts 1 day before
🚗 Didi to Qianmen 前门 meeting point
🏛 Tiananmen Square 天安门广场 — Monument to People's Heroes
🏯 Forbidden City 故宫 (午门入) + Treasure Gallery 珍宝馆; tour ends ~12:30","🚶 5 min walk to Jingshan Park 景山公园 (景山西街44号)
Climb Wanchun Pavilion 万春亭 — only elevated view over Forbidden City roofline; ~¥2
🍜 Lunch: Siji Minfu 四季民福 (景山东街, Jingshan branch)
Peking duck right by the exit; ⚠️ book ahead on Dianping
💳 Lady's / Citi+Amaze · ~S$35–45/pax
🏝 Beihai Park 北海公园 (文津街1号) — 5 min walk from Jingshan north gate
White Pagoda 白塔 on island; rowboat ~¥40; lakeside ice cream; ¥10 entry; almost zero international tourists","🍽 Dinner: Fangzhuanchang Zhajiangmian 方砖厂69号炸酱面 (方砖厂胡同1号)
Michelin Bib Gourmand; one dish — zhajiangmian 炸酱面; ~¥38; arrive before 18:00; no reservation
💳 UnionPay QR · ~S$8–10/pax"
21 Sep 2026,Mon,Day 9,Regent Beijing 王府半岛酒店 (金鱼胡同99号),Mutianyu Great Wall 慕田峪 (independent Didi) → 798 Art District afternoon,"✅ MONDAY — Great Wall open
⚠️ Book wall tickets BEFORE FLYING: 慕田峪长城景区 WeChat mini program
Park entry ¥65 + Chairlift up 缆椅 ¥80 + Toboggan down 滑道 ¥60 (real-name + passport)
🚗 05:50 depart hotel by Didi (search: 慕田峪长城停车场; fare ~¥200–280; ~90 min)
🚌 07:30 shuttle bus up 景区摆渡车 (¥15 return, ~15 min)
🚡 07:45 chairlift up; opens 08:00; drops at Tower 14 大角楼 — most dramatic point
🧗 08:00 Walk Tower 14 → Tower 6 (~1.5 km, ~90 min)
Towers 14–10 most pristine + uncrowded; mid-Sep: oaks + maples starting to turn gold; bring water","🛷 09:45 Toboggan descent 滑道 — 1,600m self-controlled run (best 15 min on the wall)
🚌 10:15 shuttle back to car park (~15 min)
🍜 Lunch: village restaurants at wall base 慕田峪村餐厅 — quick noodles; skip buffet · ~S$8–12
🚗 Didi south to 798 Art District 798艺术区 (酒仙桥路2号, ~90 min) — on the way back
🎨 12:15 arrive 798 — UCCA Center 尤伦斯当代艺术中心 (check current show first); outdoor murals + sculptures; no ticket for streets
☕ Metal Hands 铁手 (798 branch) — one coffee; ⚠️ verify open on Amap · ~S$8 [☕1]","🚗 Didi back to hotel (~30 min); rest
🍽 Dinner: Siji Minfu 四季民福 · Dengshikou branch (灯市口西街32号)
5-min walk from hotel; easy post-wall dinner
💳 Lady's / Citi+Amaze · ~S$15–20/pax"
22 Sep 2026,Tue,Day 10,Regent Beijing 王府半岛酒店 (金鱼胡同99号),Temple of Heaven 天坛 → Bianyifang lunch → Summer Palace 颐和园 → Shichahai walk → Nanmen Shuanrou hotpot,"🚗 Didi to Temple of Heaven East Gate 天坛东门 (天坛东路甲1号)
⛩ Temple of Heaven 天坛 (self-guided, ~1.5–2 hrs):
Morning tai-chi atmosphere in park → Hall of Prayer 祈年殿 → Echo Wall 回音壁 → Circular Mound Altar 圜丘坛
🍜 Lunch: Bianyifang 便宜坊 (崇文门外大街2号新世界百货, Chongwenmen branch)
Lighter closed-oven roast duck; est. 1416; more affordable than Siji Minfu
💳 Lady's / Citi+Amaze · ~S$20–28/pax","🚗 Didi to Summer Palace East Gate 颐和园东宫门 (~30 min)
⛵ Summer Palace 颐和园 (self-guided, ~2 hrs):
· Long Corridor 长廊 — 728m of painted galleries
· Longevity Hill 万寿山 — climb for lake view
· Marble Boat 石舫 — Cixi's folly at lake edge
· Kunming Lake south causeway 昆明湖 — full panorama
🚗 Didi to Shichahai 什刹海 (~25 min)
🚶 Shichahai / Drum Tower walk (START: Yandai Xie St west end 烟袋斜街西口):
· Yandai Xie Street 烟袋斜街 — 800-yr-old lane, boutiques + tea
· Yinding Bridge 银锭桥 — Drum Tower framed in canal (best photo in Beijing)
· Drum Tower 鼓楼 (鼓楼东大街56号) — climb for hutong view + drum performance; ¥30
· Bell Tower 钟楼 — 300m north
· Houhai Lake 后海 — rowboat 划船 ~¥60–80; willows + lanterns at dusk
☕ Voyage Coffee 航行咖啡 — verify branch on Amap · ~S$7 [☕1]
⚠️ Dianping queue for Nanmen Shuanrou by 17:30","🍽 Dinner: Nanmen Shuanrou 南门涮肉 · Qianhai branch (前海南沿1号南官房胡同1号)
Copper-pot mutton hotpot; est. 1994; ⚠️ NO reservations — Dianping queue number
Order: hand-cut lamb 手切鲜羊肉 (shangnao 上脑 + huangguatiao 黄瓜条)
Sesame dip 麻酱 + pickled garlic 糖蒜 + flatbread 烧饼; clear broth only
💳 Lady's / Citi+Amaze · ~S$22–30/pax"
